100	31
200	36
300	25
400	32
500	11
600	18
700	51
800	23
900	39
1000	16
1100	13
1200	30
1300	26
1400	18
1500	54
1600	43
1700	21
1800	23
1900	36
2000	15
2100	29
2200	36
2300	28
2400	27
2500	18
2600	20
2700	28
2800	19
2900	15
3000	67
3100	36
3200	13
3300	30
3400	15
3500	11
3600	17
3700	28
3800	18
3900	13
4000	41
4100	13
4200	34
4300	27
4400	31
4500	29
4600	18
4700	61
4800	38
4900	46
5000	12
100	39
200	14
300	36
400	27
500	31
600	16
700	40
800	45
900	19
1000	26
1100	22
1200	23
1300	26
1400	42
1500	25
1600	54
1700	31
1800	17
1900	22
2000	25
2100	28
2200	41
2300	19
2400	34
2500	60
2600	42
2700	1000
2800	15
2900	30
3000	50
3100	29
3200	34
3300	5
3400	23
3500	23
3600	14
3700	16
3800	14
3900	9
4000	64
4100	12
4200	23
4300	32
4400	27
4500	27
4600	19
4700	43
4800	17
4900	15
5000	28
100	72
200	37
300	20
400	33
500	40
600	18
700	24
800	13
900	23
1000	25
1100	26
1200	35
1300	22
1400	82
1500	60
1600	28
1700	39
1800	24
1900	21
2000	18
2100	5
2200	8
2300	21
2400	15
2500	24
2600	30
2700	24
2800	27
2900	14
3000	73
3100	20
3200	50
3300	11
3400	51
3500	31
3600	8
3700	24
3800	19
3900	18
4000	33
4100	17
4200	26
4300	12
4400	42
4500	16
4600	19
4700	30
4800	25
4900	51
5000	21
